2108;F;Maya Granat;XLH ns 12;16-06-1991;FD RX 7469;18914;BSH ns 12;34530;BSH ns 11
2115;M;Forestsprite's Andy;MCO d 22;...;CFA 1740-205592 V0785;7796;MCO n;1068;NFO g 24
2244;F;Babette af Langbakken;SIA n;...;FD LO 33786;15369;OSH n;67;SIA n
2247;F;Pendaway Anli;SIA n;...;FD LO 32816;15353;OSH b;7396;SIA n
2337;M;Emil Doucet af Vendsyssel;XLH a 33;13-08-1991;FD RX REG 1477;11681;PER b;19151;SBI n
2340;M;Crescendo Tabby Treasure;PER x;...;FD 1168 K;;;1860;PER a 33
2431;M;Midas Jazzman of Sitara;PER n;06-10-1974;CFA 0108-005472 V108;22108;PER d;;
2467;F;Canasta's Sofia;OSH b;07-08-1990;FD RX REGI 1416;5532;SIA n;27994;OSH b
2509;M;Misriya's Elliott;SIA n;...;FD LO 47559;15236;SIA a;26363;OSH n
2612;M;Uruguay Spotted Dempsey;OSH a 24;06-07-1988;FD LO 52559;9836;SIA n 21;16504;OSH a 24
2639;F;Sita Tayari DK;SIA b;20-01-1992;FD LO 66361;6428;OSH c;18830;OSH b
2658;F;Mariflor Dona Dagny;SIA n;...;SVERAK RX 50564;81;SIA n;46;BAL a
2662;F;Northstar Galinthias;BAL a 21;...;GCCF EX 064329;2655;BAL a;2043;SIA a 21
2663;M;S*Vildhussens Cato;BAL c;...;SVERAK RX 55841;829;SIA c;2051;BAL n
2664;F;Vivelkattens Dark Amanda;SIA n;...;SVERAK RX 56700;830;BAL n;2658;SIA n
2665;M;Aprikat Skylarking Lad;SIA n;...;GCCF RE 250883;2659;SIA n;9536;BAL n
2667;M;Vivelkattens Toady;BAL a;...;NRR LO 61020;2663;BAL c;2664;SIA n
2668;F;Pandai Morwenna;BAL b 21;...;NRR LO 60816;2665;SIA n;2666;BAL c 21
2674;F;Salween Blue's bronze Nanette;OSH b;...;FD LO 26296;2514;OSH b;1190;SIA a
2678;M;Bøgevænget's Tay;OSH b;14-05-1993;FD LO 71876;33126;OSH n;31938;SIA b 21
2771;F;Elva el-Tjok;PER g;...;1.DEKZV 021793;1605;PER a;;
2799;M;Maya Lotus;BSH ns 12;...;FD RX 5781;1951;PER ns 12;34530;BSH ns 11
2810;M;Chopin van de Roestelberg;BSH a 03;...;MU.R86.BK.032.2;77781;PER n 02 62;77782;BSH f
2874;F;Essyx Esoterica of Helium;ABY n;09-04-1978;1.DEKZV 032989;;;78345;ABY n
2905;F;Sylvia;MAN x a 02 54;...;FD RX 2931;;;2002;MAN n 03 24 53
2906;F;Maya Turelure;XSH ns 24;...;FD RX 4049;;;9565;PER ns 12
2923;F;Exotica Nobellami;OSH h;...;FD RX 1771;3236;OSH b;723;SIA d
2953;F;Birtheline af Fredenslund;OSH n;...;FD LO 30238;7966;SIA n;3418;OSH n 24
2957;M;Sphinx black Velvet;OSH n;11-07-1990;FD LO 60091;3404;OSH b 24;19225;SIA f
2977;F;Fleuretto fair Megan;SIA b;19-12-1988;FD LO 54025;4603;OSH n;4604;OSH b
3141;F;Ødis af Bajang;OSH n;25-08-1992;FD RX 8419;24225;OSH ns;17112;SIA n
3229;F;DK Traveller's Romantica;OSH n;08-05-1997;FD LO 90400;48403;OSH n;59857;SIA b
3233;M;Myomah Mojo;OSH ns;...;GCCF EX 65161;20442;SIA n 21;;
3238;M;San-T-Ree Blues;OSH a;06-11-1983;FD LO 36454;1632;SIA a;15347;OSH b
3270;F;Algol Silver Betsa;ABY ns;...;GCCF NS 021011;18808;XSH s;3267;ABY o
3307;M;Tamerlan af Ølsted;SIA b 21;11-02-1992;FD LO 66569;7504;SIA b;15836;OSH b 24
3353;M;Løvetangens Monty;NFO n 09;...;NRR RX 50770;;;4762;NFO n 09
3368;M;Chushingura's Fridolin Z;BSH a;...;SVERAK RX 53020;10198;PER a;14957;BSH g
3383;F;Zalli af Tin-Po;SIA a;31-12-1991;FD LO 66256;10106;SIA a;17906;OSH n
3417;M;Sphinx Nickname;OSH b 24;16-09-1988;FD LO 53418;31024;OSH b;9194;SIA b 21
3418;F;Origin af Fredenslund;OSH n 24;12-02-1977;FD 1474 K;7777;OSH b;24809;SIA n 21
3425;M;DK Laxey's Bob;XSH n 03;07-03-1992;FD RX REG 1583;31170;BSH a;27175;MAN n 03 52
3426;M;Nissen's Xanadu;OSH n;20-12-1990;FD LO 61847;6260;SIA e;5965;OSH n
3428;M;DK Feles Grata Bacchus;SIA e 21;29-12-1990;FD LO 62291;23141;OSH n 24;21832;SIA g
3443;F;Breath-Taking's Erle Perle Fnidder-Fnadder;PER n 33;...;FD RX 1880;14354;PER n 33;36028;XLH
3498;M;Bellamis' Vika;OSH d;18-11-1990;FD LO 61505;7490;SIA d;6367;OSH f
3500;F;Syriam's Justine;BSH a;28-10-1990;FD RX 7495;2031;BSH a;1814;XSH g
3506;M;Braeside's Mister Musky;MAN n 03 53;...;MU.R89.MX.REG.02;;;41861;MAN n 03 22 53
3544;M;Jawhara's Leopold;OSH c;03-08-1990;FD RX 6770;1364;BAL c;19144;OSH c
3549;M;Allegretto's Ionesco;OSH c;...;FD LO 36469;5868;OSH c;1505;SIA c
3573;M;Panda's Lilac Purr-Sonality;BSH c;...;MU.R83.BK.017.1;25501;PER a;25504;BSH a
3584;M;Cora-Terry's Peewee;XLH n 22;...;1.DEKZV 130071;375;PER ns 11;14783;SBI n
3593;M;Shwechinthe Chindit;SBI a;...;GCCF NS 224668;1369;SBI n;;
3637;M;Belissimo af Xique DK;SIA c;28-05-1990;FD LO 60364;15237;SIA a;15346;OSH b
