57167;M;DK Egalia's Blue Azyrko Amarin L'Bes;RUS;06-09-1997;FD RX 12365;49215;XSH a 33;58795;RUS
58062;F;Aratak Wo Cinderella;DRX c 33;...;ACF GCCFSA (S) 11560;58058;DRX b 33;58059;XSH f
58109;M;DK Egalia's Blue Andante A La Carte L'Bes;RUS;06-09-1997;FD RX 12364;49215;XSH a 33;58795;RUS
58567;F;DK Egalia's Blue Amaya Avangelin L'Bes;RUS;06-09-1997;FD RX 12366;49215;XSH a 33;58795;RUS
59917;M;DK Egalia's Blue P Brave Byron Malevitch;RUS;22-01-1997;FD RX 11726;49215;XSH a 33;58798;RUS
60251;F;Rishabha Frankincense;SBI a 21;...;GCCF CSSR 304185;60246;XLH a 21 33;60249;SBI g 21
60271;M;Thamakan Silver Archie;BML bs 11;20-06-1996;FD RX 11824;49939;XSH ns 11 31;20418;BML x ay
60537;M;DK Malevitch Blue Point Mr. Popeye;XSH a 33;12-12-1997;FD RX 12551;49215;XSH a 33;69282;XSH a 33
62591;F;DK Steenbergs Burmilla Olivia;BML ns 11;18-06-1998;FD RX 13149;55693;XSH ns 11;65050;BML ns 11
64943;M;Moomins Making Waves;CRX d 09;...;GCCF CSREF 050387;64941;CRX as;64942;XSH f 09
65234;M;Goldie 98-107;BML bs 11;29-05-1998;FD RX 13020;55693;XSH ns 11;47814;BML ns 11
65235;F;Baby 98-108;BML ns 11;29-05-1998;FD RX 13021;55693;XSH ns 11;47814;BML ns 11
66238;M;DK Steenbergs Burmilla Orson;BML ns 11;20-06-1998;FD RX 13150;55693;XSH ns 11;61229;BML ns 11
66239;M;DK Steenbergs Burmilla Oliver;BML ns 11;20-06-1998;FD RX 13151;55693;XSH ns 11;61229;BML ns 11
66799;F;Silver 98-106;BML as 11;29-05-1998;FD RX 13019;55693;XSH ns 11;47814;BML ns 11
67071;F;DK Malevitch Blue Point Mizz Paragon;XSH a 33;12-12-1997;FD RX 12553;49215;XSH a 33;69282;XSH a 33
67687;F;Millwood Thi Sam;BEN n 24;27-03-1994;FD RX REG 1794;83090;BEN n 24;47720;XSH n 24
69032;M;DK Paragon Blue Killmouski Dr. Jekyll;RUS;05-12-1998;FD RX 13190;56581;RUS;67071;XSH a 33
69580;M;Mr. Sioux Warrior van Goedee;SPH n 25;...;NCT A976107;69576;SPH n 09 21;69579;XSH
69586;F;Blue Melody van Loth-Loriën Forest;RUS;...;DVDK LOB 13036;69584;RUS;69585;XSH n
69842;M;Rainbow Warriors' Mr. Niwot;SPH n 25;25-04-1998;FD RX 13452;69580;SPH n 25;69588;XSH a
71544;M;DK Daisy's EisBlue Hermes of Olympia;RUS;19-02-1998;FD RX 12641;49215;XSH a 33;51012;RUS
71874;F;Orbi van Plezier;DRX n 09;22-03-1989;TICA C3T 032289 023;24144;DRX c 22 32;54669;XSH n 09
72848;F;DK Malevitch P Tiger Tessa of Egalia;RUS;08-12-1996;FD RX 11650;49215;XSH a 33;58951;RUS
76141;M;Gazzella Libra;BML ns 11;...;CA RX 95021209;76137;XSH ds 11;76138;BML x fs 11
