61346;F;DK Mengel.E Claudia;BUR n;29-05-1999;FD LO 100444;;;72126;BUR n
63145;M;Aladin 98-47;SBI e;08-05-1998;FD RX 94656;;;43904;SBI g
63146;F;Anastasier 98-48;SBI e;08-05-1998;FD RX 94657;;;43904;SBI g
63147;F;Akela 98-50;SBI g;08-05-1998;FD RX 94659;;;43904;SBI g
65983;F;Alis 98-49;SBI f;08-05-1998;FD RX 94658;;;43904;SBI g
66377;F;Becton's Rudy Valley;EXO f;...;CFA 7747-351862 V1187;;;57872;EXO n
68275;F;Charite van Rostov-Na-Donde;RUS;...;BC 10968;;;87413;RUS
69274;F;Harlyndon Love Affair;BSH n;...;GCCF NS 213933;;;69278;BSH a
69589;F;Utschami v. Waltharihain;EXO f;...;NRR LO 101084;69595;...;69598;EXO f
72082;M;DK Mengel.E Zarza;BUR n;29-05-1999;FD LO 100443;;;72126;BUR n
72155;F;Pirot Tintomara;BSH f;...;SVERAK RX 102210;;;66074;BSH f
75049;F;Wynhaven's Shezandra;MCO n 22;...;CFA 1745-968294 V0295;;;41770;MCO n 09 22
76346;M;Tai Ming's Fortune;SBI a;...;CFA 0186-125199;;;14806;SBI a
80639;F;Chantarabe's Pippi Longstocking;PER ns 22 64;26-05-1994;CFA 0137-939026 V0695;;;104942;PER ns 22 62
83075;M;Rambo;BEN x o;15-11-1989;TICA SBT 111589 017;;;83076;BEN n 24
85823;M;Tajhara's J.J. Firestarter;SOM o;06-08-1988;CFA 1382-497341 V0190;;;63452;SOM n
85826;F;Lynn-Lee's Strawberry Hedgehog;SOM o;07-03-1986;CFA 1383-306565 V0987;;;34521;SOM o
85868;F;Bushbabies Bobbie Soxs;SOM n;23-05-1992;CFA 1381-793778 V0594;;;28767;SOM o
87940;F;Gogees Aerie of Hercats;BEN n 24;07-07-1990;TICA C3T 070790 023;;;48798;BEN n 24
88176;M;Bazooka Renard des Oncles du Baron;SOM n;...;NCT 926434;;;54316;SOM o
89853;F;Skyhy Wynter Wythe;PER w 62;...;CFA 0103-595529;;;33556;PER n
90032;F;Zephyr-OT of Noahs Ark;MCO n 22;...;1.DEKZV LO 244327;90029;...;26867;MCO f 09 22
90979;F;Yankee Pearl's Misty Monja;MCO fs;...;FE.L90.MC.MU.07;;;57425;MCO w 62
91323;M;Janaldo's Mr Rudolph;RAG n;...;UCF RA-98-0210;;;91322;RAG n
92771;M;Dragonlord's Run Like The Wind;MCO n 25;15-06-1997;TICA SBT 061597 009;;;97749;MCO n 22
95748;M;Malsome Garibaldi;BSH b 33;...;Kat ID: 247518;;;95747;BSH n 33
96429;M;Rainbow Warriors' Mr. Fredolin;SPH n 33;...;NCT A976202;;;72962;SPH n
97982;M;Rivendell's Jack Beauregard;MCO n 23;...;KVL 3-91-4294;;;62824;MCO n 23
98281;M;Osman Bir of Pairodocs;TUV n 21 62;...;CFA 3592-880232;;;31906;TUV n 61
98282;F;Pairodocs Leona Vansley;TUV e 62;...;CFA 3581-759670;;;98325;TUV d 62
99277;F;Felia von der bunten Stadt;BSH f;...;Felina 201438 EXP. KH.;;;98961;BSH f
99380;M;Cheracat Maverick of Heidland;MCO n 09 22;14-03-1996;CFA 1792-1084760;;;110635;MCO n 09 22
99472;F;Medway's Quickstep-Queeny;BSH g;...;BEC 2103948;;;5379;BSH g
99479;F;Babsy of Elocin;BSH g;...;WACC RVDE 01021769;;;100101;BSH f
100142;F;Westalaam Witchetty Grub of Bes Zahret;SOM a;27-04-1992;CCCA NSWCFA (N) 119642;;;100141;SOM a
102226;M;Wiedzmin Fortunatus;PER d;...;PKR 8211/PER;;;10052;PER f
102964;M;;...;...;Ukendt / Unknown;102964;...;102965;...
102965;F;;...;...;Ukendt /Unknown;102964;...;102965;...
105309;F;Sonnet Caresse;PER ns 11;08-09-1985;CFA 0133-291176;;;105308;PER ns 12
106503;F;Trollfjell's Medusa;NFO ns;...;NRR LO 63391;;;16393;NFO n
106514;M;Jorn de Monts Brumeux;NFO ns 09 22;...;EFC 94/0000864;;;106513;NFO ns 09
107888;M;Kumskaka Promise Keepers;MCO ds 22;...;CFF MC1464M1-110457;;;108970;MCO fs 09
108038;M;Sid of Thunderpaw;MCO w 64;...;ACA 78366-1;;;118647;MCO w 62
109849;F;Sesamee Patriarca;MCO f 09;...;ASFE RX 22062;;;109825;MCO g 09
111762;F;Maine-Made Dani;MCO n 22;...;CFA 1745-1157414;;;111761;MCO n 22
112599;M;Anthony of the 6th Floor;BSH a;...;WCF DE 26085;;;112595;BSH a
112687;F;Felidae's Debora;BSH c;...;1.DEKZV 224583;;;21995;BSH c
113120;F;Zhura;SIB n 09;...;EPK 78/92 EX;;;113119;SIB n 09 23
113959;F;Burcin von Shammar*CH;TUV d 62;...;FFH LO 42945;178764;...;178765;TUV d 62
114787;M;Yeliz von Eski-Van;TUV d 62;...;1.DEKZV 184075;;;114530;TUV d 61
114816;F;Urartu's Hediye;TUV d 62;...;FFH RX 17018;;;114815;TUV d 61
115708;F;Gwendero's Place In My Heart;PER a;...;NLKV 93.923;;;108681;PER g
116673;F;Nicki;XSH n;...;1.DEKZV 282188;102964;...;128917;XSH n 23
116924;M;Dionis Blus;PER e;...;AR CCA LO PER/97-1343;;;116922;PER w 62
118186;F;Islandcats Dream Catcher;MCO fs 23;18-12-1995;TICA SBT 121895 005;;;80817;MCO w 63
119033;F;Red Queen's Conny;MCO f 09 23;...;CATS 5054/00-25/110-w;;;119029;MCO n 09 22
119317;M;Zodiaque Mr Wilson;PEB b 33;14-11-1998;TICA AOP 111498 008;;;119307;PEB b
119423;M;That's Him from Coonsvalley;MCO e 09;...;FE.L96.MC.050.3;;;119422;MCO g 09
119507;F;Wendela van de Woeste Hoogte;BSH w 62;...;FE.R88.BK.015.1;;;9519;BSH w 62
119573;F;Ulika v. Speyerbach;OSH h 25;...;1.DEKZV LO 273114;;;119571;OSH j
119852;M;Murat von Eski-Van;TUV d 62;...;1.DEKZV 217666;;;114533;TUV d 62
120051;F;(N)Howlid's Albertine;NFO n 09;...;(N)NRR LO 61730;;;106140;NFO n 09
120140;M;S*Raus Höjden's Blue Baltazar;SBI a;25-04-1996;SVERAK LO 137658;;;51328;SBI a
121236;M;Jainela's Sturgis;MCO n;...;WACC RVDE 01030739;;;14429;MCO f 22
122045;M;Mister-Moony van Landsheer;BSH e 33;...;DKRC 201885 blau;;;41913;BSH w 62
123224;F;Baltimoor's Blue Nita;NFO a 09 22;...;BPK 049/S;;;133414;NFO x r 09 22
124350;F;Wynhaven Gypsy Lee of VelvetJewels;MCO n 22;...;CFA 1745-1127647;;;41770;MCO n 09 22
124601;F;Bianka;SIB x n 21 33;...;M-SIB-118/95;;;124597;SIB n 09 25
124839;F;Natsja Nightingale;SIB f 09;...;POF 09/97;;;124837;SIB f
125610;F;Bolo's Trixie of Cobby-Corp;PER f;17-01-1992;CFA 0147-792745 V0393;;;41859;PER f
126359;M;Misskin Crackerjack;BSH c;...;GCCF CSEXP 193972;;;67784;BSH a
126805;F;Miki-Vixi's z Abadanu*PL;PER f 23;...;PKR 11366/PER;;;26366;PER g
127668;M;Zampano of Koi Pond;MCO es 09;24-04-1999;DLKEV 1-013847-99;;;127014;MCO ns 22
128205;M;Pegavi Young Tiki;BUR c;...;GCCF CS 220818;;;108356;BUR c
128255;M;Wynden Spodiiodi;PER a;27-05-1996;SVERAK LO 93382;;;37566;PER g
128867;M;Spoomy De Kreeiz Ar Mor;MCO d 09 23;...;LOOF 2001.2472;90029;...;128866;MCO f 09 23
129322;M;Fienelien's Boris;BSH n;...;FE.L98.BK.095.1;;;160720;BSH a 03
130130;F;Purrfurus Flame;RAG d;...;GCCF CSREF 472645;;;83783;RAG f
131366;M;Stolbaerd's Litteary Macavity;BAL w 67;...;1.DEKZV 269672;;;131364;BAL w 67
131483;F;Orhidea Bast;SIB ns 23;...;EPK 16/97 VRT SPb;;;117147;SIB n 22
131487;M;Ediger-II Chingi-Tura;SIB e 03;...;WCF 005.01.R078.05;;;208162;SIB g 03 23
131870;F;Melody Maker Arissa;MCO n;...;WCF DE 18008;;;132466;MCO f 09
132464;M;Xarelan The White of Fantasy Valley;MCO w;...;SDRV 05009964;;;132469;MCO w
135357;F;Narghille du Clos des Orchidees;SPH b 21 33;...;CFB 15163;;;108165;SPH h 21 32
135644;F;LuckyHome's Flashlight;MCO fs 22;...;(DE)TCC MC 280100 04;;;115478;MCO f 22
136771;M;Dover-Callao vom Schloss Waltenberg;BSH a;...;DRV 034304-KH;;;136770;BSH a
137766;F;Meowacres My Hope;SPH f 09;20-10-1999;TICA SBT 102099 025;;;116608;SPH f 09
140116;M;Nelson de Banderas;PER a 03;14-06-1998;CFA 1106-1473516;;;140115;PER n 03 23
140583;F;Wishnwhisker Lady Anna;TUV d 62;...;CFA 3563 950771 V0196;;;140572;TUV d
142325;F;Barsa Laskoviy Zver';SIB ns 24;...;RES-0015/SIB/2001;;;139641;SIB ns 22
142327;F;Stesha Laskoviy Zver';SIB f 23;...;RES-0045/SIB/2001;;;142318;SIB f 03 23
